STYLE,CATEGORY,TOTAL_ORDERS
JNE3797,Western Dress,154
SET268,Set,105
J0003,Set,95
J0230,Set,71
JNE3405,kurta,67
J0119,Top,63
SET345,Set,61
JNE3468,kurta,56
J0341,Western Dress,55
J0339,Western Dress,52
JNE3800,Western Dress,51
SET374,Set,47
JNE3440,kurta,46
JNE3373,kurta,44
J0349,Set,43
JNE3399,kurta,43
J0301,Top,43
SET331,Set,42
SET184,Set,41
J0117,Top,39
JNE3567,kurta,37
JNE3781,kurta,36
JNE3645,Top,35
SET324,Set,34
J0118,Top,33
JNE3801,kurta,33
JNE3487,kurta,33
SET183,Set,30
J0008,Set,30
JNE3905,Western Dress,30
J0308,Western Dress,29
SET293,Set,29
SET110,Set,29
J0401,Western Dress,29
J0157,Western Dress,29
JNE3654,Top,28
JNE3518,kurta,27
J0344,Top,27
SET269,Set,27
JNE3721,kurta,26
SET197,Set,25
JNE3510,kurta,25
SET278,Set,25
SET291,Set,25
JNE3784,kurta,24
JNE3368,kurta,24
J0335,Western Dress,24
JNE3546,kurta,24
J0236,Set,23
JNE3291,kurta,22
MEN5004,kurta,21
J0340,Top,21
JNE3465,kurta,21
JNE2305,kurta,21
SET304,Set,21
JNE3634,kurta,21
SET328,Set,21
J0095,Set,20
SET397,Set,20
JNE3618,kurta,19
SET145,Set,19
JNE3861,Western Dress,19
JNE3710,Western Dress,18
J0285,Set,18
NW030,Set,18
JNE3703,kurta,17
J0283,Set,17
JNE3560,kurta,17
JNE3691,Top,17
MEN5011,kurta,17
J0005,Western Dress,17
SET233,Set,17
SET350,Set,17
J0097,kurta,17
J0113,Top,16
JNE3613,kurta,16
SET264,Set,16
JNE2014,kurta,16
NW029,Set,16
SET389,Set,16
JNE3822,kurta,16
JNE3619,kurta,16
JNE3794,kurta,15
J0012,Set,15
JNE3838,kurta,15
J0212,Ethnic Dress,15
JNE3690,Top,15
JNE3461,kurta,15
J0002,Set,15
SET383,Set,15
JNE3568,kurta,15
JNE3904,Western Dress,14
MEN5008,kurta,14
J0213,Top,14
JNE3689,Top,14
J0164,Ethnic Dress,14
J0379,Set,14
J0244,Set,14
SET339,Set,14
JNE3659,Top,14
JNE3718,kurta,14
JNE3798,Western Dress,14
SET342,Set,14
JNE3869,Western Dress,13
J0343,Western Dress,13
JNE3463,kurta,13
JNE3739,kurta,13
SET058,Set,13
J0153,Western Dress,13
MEN5009,kurta,13
J0336,Top,12
J0399,Western Dress,12
JNE3423,kurta,12
SET327,Set,12
JNE3860,Western Dress,12
MEN5024,kurta,12
J0006,Ethnic Dress,12
J0023,Top,12
SET365,Set,12
SET273,Set,12
JNE3865,Top,12
JNE3640,Top,11
JNE3805,kurta,11
NW020,Set,11
SET286,Set,11
JNE2100,kurta,11
NW004,Set,11
JNE3787,kurta,11
SET240,Set,11
J0122,Top,11
JNE3366,kurta,11
SET247,Set,11
MEN5002,kurta,11
SET408,Set,11
JNE3371,kurta,11
SET182,Set,11
J0337,Top,10
SET288,Set,10
JNE3627,kurta,10
SET351,Set,10
J0297,Top,10
JNE3660,Top,10
J0342,Top,10
J0096,kurta,10
SET385,Set,10
SET357,Set,10
JNE3484,kurta,10
JNE3887,kurta,10
JNE3735,kurta,10
JNE3709,Western Dress,10
SET257,Set,10
JNE3543,kurta,10
JNE3799,kurta,10
JNE3761,kurta,10
SET265,Set,10
JNE3870,Western Dress,10
JNE3421,kurta,9
SET398,Set,9
JNE3879,Western Dress,9
SET330,Set,9
J0243,Ethnic Dress,9
JNE3458,kurta,9
JNE3706,Western Dress,9
SET277,Set,9
JNE3648,Top,9
JNE3620,kurta,9
